Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,20,30,9,Some Random Commen with Id 0
1,0,20,150,2,Some Random Commen with Id 1
2,1,8,195,5,Some Random Commen with Id 2
3,1,8,113,3,Some Random Commen with Id 3
4,1,8,178,2,Some Random Commen with Id 4
5,1,8,28,9,Some Random Commen with Id 5
6,2,39,120,7,Some Random Commen with Id 6
7,2,39,86,5,Some Random Commen with Id 7
8,4,18,93,9,Some Random Commen with Id 8
9,4,18,117,6,Some Random Commen with Id 9
10,4,18,173,6,Some Random Commen with Id 10
11,4,18,50,5,Some Random Commen with Id 11
12,4,18,82,0,Some Random Commen with Id 12
13,4,18,126,7,Some Random Commen with Id 13
14,4,18,145,4,Some Random Commen with Id 14
15,4,18,157,3,Some Random Commen with Id 15
16,4,18,175,0,Some Random Commen with Id 16
17,5,9,111,9,Some Random Commen with Id 17
18,5,9,173,8,Some Random Commen with Id 18
19,5,9,58,4,Some Random Commen with Id 19
20,5,9,152,6,Some Random Commen with Id 20
21,5,9,16,6,Some Random Commen with Id 21
22,5,9,53,1,Some Random Commen with Id 22
23,5,9,68,3,Some Random Commen with Id 23
24,5,9,183,8,Some Random Commen with Id 24
25,6,22,178,4,Some Random Commen with Id 25
26,6,22,106,9,Some Random Commen with Id 26
27,7,21,150,8,Some Random Commen with Id 27
28,7,21,131,6,Some Random Commen with Id 28
29,8,2,56,1,Some Random Commen with Id 29
30,8,2,159,5,Some Random Commen with Id 30
31,8,2,57,4,Some Random Commen with Id 31
32,8,2,25,8,Some Random Commen with Id 32
33,9,20,185,3,Some Random Commen with Id 33
34,9,20,119,9,Some Random Commen with Id 34
35,9,20,147,0,Some Random Commen with Id 35
36,9,20,172,4,Some Random Commen with Id 36
37,9,20,15,0,Some Random Commen with Id 37
38,9,20,130,2,Some Random Commen with Id 38
39,9,20,171,8,Some Random Commen with Id 39
40,9,20,87,6,Some Random Commen with Id 40
41,9,20,109,4,Some Random Commen with Id 41
42,10,9,109,3,Some Random Commen with Id 42
43,10,9,148,9,Some Random Commen with Id 43
44,10,9,113,7,Some Random Commen with Id 44
45,10,9,69,9,Some Random Commen with Id 45
46,10,9,123,5,Some Random Commen with Id 46
47,10,9,85,6,Some Random Commen with Id 47
48,11,21,194,3,Some Random Commen with Id 48
49,12,13,184,4,Some Random Commen with Id 49
50,12,13,131,3,Some Random Commen with Id 50
51,12,13,44,8,Some Random Commen with Id 51
52,12,13,7,7,Some Random Commen with Id 52
53,12,13,112,6,Some Random Commen with Id 53
54,12,13,103,4,Some Random Commen with Id 54
55,13,10,86,7,Some Random Commen with Id 55
56,13,10,64,0,Some Random Commen with Id 56
57,13,10,113,6,Some Random Commen with Id 57
58,13,10,6,3,Some Random Commen with Id 58
59,13,10,10,2,Some Random Commen with Id 59
60,13,10,128,4,Some Random Commen with Id 60
61,13,10,16,8,Some Random Commen with Id 61
62,13,10,115,3,Some Random Commen with Id 62
63,13,10,110,4,Some Random Commen with Id 63
64,14,37,15,0,Some Random Commen with Id 64
65,14,37,117,7,Some Random Commen with Id 65
66,14,37,123,6,Some Random Commen with Id 66
67,14,37,157,8,Some Random Commen with Id 67
68,14,37,154,6,Some Random Commen with Id 68
69,14,37,92,8,Some Random Commen with Id 69
70,14,37,192,0,Some Random Commen with Id 70
71,14,37,136,7,Some Random Commen with Id 71
72,15,26,0,4,Some Random Commen with Id 72
73,15,26,116,8,Some Random Commen with Id 73
74,15,26,56,0,Some Random Commen with Id 74
75,16,36,38,6,Some Random Commen with Id 75
76,16,36,33,1,Some Random Commen with Id 76
77,17,25,22,5,Some Random Commen with Id 77
78,17,25,193,0,Some Random Commen with Id 78
79,18,11,89,1,Some Random Commen with Id 79
80,20,25,7,8,Some Random Commen with Id 80
81,20,25,48,9,Some Random Commen with Id 81
82,20,25,128,6,Some Random Commen with Id 82
83,20,25,71,4,Some Random Commen with Id 83
84,20,25,196,2,Some Random Commen with Id 84
85,20,25,169,6,Some Random Commen with Id 85
86,20,25,104,3,Some Random Commen with Id 86
87,21,38,180,0,Some Random Commen with Id 87
88,23,29,123,2,Some Random Commen with Id 88
89,23,29,67,7,Some Random Commen with Id 89
90,23,29,48,0,Some Random Commen with Id 90
91,23,29,162,6,Some Random Commen with Id 91
92,23,29,190,1,Some Random Commen with Id 92
93,23,29,87,6,Some Random Commen with Id 93
94,24,37,16,3,Some Random Commen with Id 94
95,24,37,183,4,Some Random Commen with Id 95
96,24,37,118,5,Some Random Commen with Id 96
97,24,37,7,5,Some Random Commen with Id 97
98,24,37,54,9,Some Random Commen with Id 98
99,26,34,83,2,Some Random Commen with Id 99
100,26,34,63,2,Some Random Commen with Id 100
101,26,34,41,8,Some Random Commen with Id 101
102,26,34,104,4,Some Random Commen with Id 102
103,27,31,199,1,Some Random Commen with Id 103
104,27,31,175,4,Some Random Commen with Id 104
105,27,31,83,0,Some Random Commen with Id 105
106,28,18,54,3,Some Random Commen with Id 106
107,28,18,187,6,Some Random Commen with Id 107
108,28,18,5,0,Some Random Commen with Id 108
109,28,18,119,8,Some Random Commen with Id 109
110,28,18,11,3,Some Random Commen with Id 110
111,28,18,121,1,Some Random Commen with Id 111
112,29,39,106,4,Some Random Commen with Id 112
113,29,39,65,4,Some Random Commen with Id 113
114,29,39,77,4,Some Random Commen with Id 114
115,29,39,164,7,Some Random Commen with Id 115
116,29,39,56,3,Some Random Commen with Id 116
117,29,39,13,7,Some Random Commen with Id 117
118,30,7,17,8,Some Random Commen with Id 118
119,30,7,11,8,Some Random Commen with Id 119
120,30,7,165,0,Some Random Commen with Id 120
121,30,7,120,8,Some Random Commen with Id 121
122,30,7,103,8,Some Random Commen with Id 122
123,30,7,84,6,Some Random Commen with Id 123
124,30,7,138,5,Some Random Commen with Id 124
125,30,7,43,0,Some Random Commen with Id 125
126,31,39,159,2,Some Random Commen with Id 126
127,31,39,118,4,Some Random Commen with Id 127
128,31,39,92,2,Some Random Commen with Id 128
129,31,39,196,1,Some Random Commen with Id 129
130,31,39,18,5,Some Random Commen with Id 130
131,31,39,54,2,Some Random Commen with Id 131
132,32,11,164,0,Some Random Commen with Id 132
133,32,11,197,1,Some Random Commen with Id 133
134,32,11,105,0,Some Random Commen with Id 134
135,32,11,82,9,Some Random Commen with Id 135
136,32,11,135,5,Some Random Commen with Id 136
137,33,18,15,5,Some Random Commen with Id 137
138,33,18,130,7,Some Random Commen with Id 138
139,33,18,78,3,Some Random Commen with Id 139
140,33,18,198,8,Some Random Commen with Id 140
141,33,18,3,5,Some Random Commen with Id 141
142,34,26,124,6,Some Random Commen with Id 142
143,34,26,150,8,Some Random Commen with Id 143
144,34,26,33,2,Some Random Commen with Id 144
145,34,26,23,5,Some Random Commen with Id 145
146,34,26,192,5,Some Random Commen with Id 146
147,34,26,18,6,Some Random Commen with Id 147
148,34,26,127,7,Some Random Commen with Id 148
149,35,36,9,2,Some Random Commen with Id 149
150,35,36,142,5,Some Random Commen with Id 150
151,35,36,39,6,Some Random Commen with Id 151
152,35,36,44,9,Some Random Commen with Id 152
153,35,36,144,8,Some Random Commen with Id 153
154,36,19,179,1,Some Random Commen with Id 154
155,36,19,98,6,Some Random Commen with Id 155
156,36,19,65,3,Some Random Commen with Id 156
157,36,19,146,0,Some Random Commen with Id 157
